uin	uout	uinc	uoutc
10.0	160.0	10.0	64.0
12.5	300.0	10.0	64.0
15.0	490.0	10.0	64.0
17.5	660.0	20.0	224.0
20.0	790.0	27.5	360.0
22.5	980.0	33.5	470.0
25.0	1100.0	40.0	600.0
27.5	1200.0	48.0	720.0
30.0	1380.0	63.0	950.0
32.5	1500.0	75.0	1180.0
35.0	1640.0	85.0	1355.0
37.5	1760.0	93.0	1500.0
40.0	1920.0	110.0	1780.0
42.5	2040.0	110.0	1780.0
45.0	2120.0	126.0	2040.0
47.5	2280.0	126.0	2040.0
50.0	2360.0	143.0	2280.0
57.0	2680.0	143.0	2280.0
60.0	2840.0	158.0	2480.0
62.5	2960.0	171.0	2680.0
65.0	3000.0	190.0	2880.0
72.0	3240.0	205.0	3080.0
75.0	3280.0	228.0	3400.0
82.5	3520.0	228.0	3400.0
84.0	3580.0	260.0	3600.0
92.0	3700.0	284.0	3700.0
96.0	3750.0	332.0	3800.0
106.0	3800.0	482.0	3800.0
126.0	3800.0	482.0	3800.0
