f	uoutc	uout	uoutfail
20	720.0	700.0	700.0
30	1030.0	1010.0	1010.0
40	1230.0	1250.0	1250.0
50	1360.0	1470.0	1470.0
60	1500.0	1650.0	1650.0
70	1560.0	1800.0	1800.0
80	1620.0	1960.0	1960.0
90	1670.0	2080.0	2080.0
100	1700.0	2240.0	2240.0
120	1760.0	2480.0	2480.0
140	1780.0	2660.0	2660.0
160	1790.0	2820.0	2820.0
180	1800.0	3000.0	3000.0
200	1810.0	3080.0	3080.0
220	1820.0	3180.0	3180.0
240	1830.0	3270.0	3270.0
260	1840.0	3380.0	3380.0
280	1840.0	3440.0	3440.0
300	1840.0	3490.0	3490.0
320	1850.0	3540.0	3540.0
340	1850.0	3560.0	3560.0
360	1860.0	3610.0	3610.0
400	1860.0	3640.0	3640.0
500	1860.0	3670.0	3670.0
600	1860.0	3680.0	3680.0
700	1860.0	3680.0	3680.0
800	1855.0	3680.0	3680.0
1000	1855.0	3680.0	3680.0
2000	1850.0	3680.0	3680.0
4000	1850.0	3680.0	3680.0
6000	1800.0	3680.0	3680.0
8000	1810.0	3680.0	3680.0
10000	1810.0	3680.0	3680.0
20000	1800.0	3660.0	3660.0
30000	1820.0	3560.0	3560.0
40000	1820.0	3410.0	3410.0
50000	1700.0	3260.0	3260.0
60000	1700.0	3110.0	3110.0
70000	1630.0	2950.0	2950.0
80000	1580.0	2810.0	2810.0
90000	1530.0	2690.0	2690.0
100000	1450.0	2540.0	2540.0
110000	1400.0	2390.0	2390.0
120000	1350.0	2270.0	2270.0
130000	1290.0	2140.0	2140.0
140000	1250.0	2050.0	2050.0
150000	1180.0	1900.0	1900.0
160000	1150.0	1820.0	1820.0
180000	1070.0	1630.0	1630.0
190000	1030.0	1560.0	1560.0
200000	970.0	1480.0	1480.0
