f	u
20.0	240.0
25.0	320.0
30.0	480.0
35.0	500.0
40.0	550.0
45.0	640.0
50.0	640.0
55.0	640.0
60.0	720.0
70.0	800.0
80.0	960.0
90.0	1040.0
100.0	1120.0
110.0	1280.0
120.0	1280.0
140.0	1360.0
150.0	1520.0
160.0	1520.0
180.0	1680.0
200.0	1920.0
250.0	2000.0
300.0	2240.0
350.0	2480.0
450.0	2560.0
600.0	2640.0
800.0	2640.0
1200.0	3040.0
2000.0	3360.0
3000.0	3360.0
4000.0	3440.0
5000.0	3440.0
6000.0	3440.0
7000.0	3440.0
8000.0	3440.0
9000.0	3440.0
10000.0	3440.0
11000.0	3440.0
12000.0	3440.0
13000.0	3360.0
14000.0	3360.0
15000.0	3440.0
16000.0	3360.0
18000.0	3280.0
20000.0	3440.0
25000.0	3440.0
30000.0	3360.0
35000.0	3360.0
40000.0	3280.0
45000.0	3200.0
50000.0	3120.0
55000.0	3040.0
60000.0	3200.0
65000.0	3200.0
70000.0	3200.0
75000.0	3120.0
80000.0	3040.0
85000.0	2960.0
90000.0	2960.0
95000.0	2960.0
100000.0	2960.0
110000.0	2960.0
120000.0	2880.0
130000.0	2800.0
140000.0	2720.0
150000.0	2720.0
160000.0	2640.0
170000.0	2640.0
180000.0	2560.0
190000.0	2560.0
200000.0	2540.0
